
======== TIMERS GLOBAL OVER ALL RANKS ========
                                                (                   min |                    avg |                    max) sec.
      Find target neurons (w/ RMA)             :              0.0373862 |              0.0489366 |               0.060487
        FMM: Calculate Taylor Coefficients     :                      0 |                      0 |                      0
        FMM: Calculate Hermite Coefficients    :                      0 |                      0 |                      0
      Empty remote nodes cache                 :               0.000462 |              0.0005155 |               0.000569
      Create synapses                          :              0.0624609 |              0.0624677 |              0.0624745
        Create synapses Exchange Requests      :               0.000999 |               0.012576 |               0.024153
        Create synapses Process Requests       :              0.0005009 |              0.0005056 |              0.0005103
        Create synapses Exchange Responses     :              0.0002658 |             0.00030175 |              0.0003377
        Create synapses Process Responses      :              0.0001328 |             0.00013475 |              0.0001367
      Add synapses in local network graphs     :              0.0001414 |             0.00014495 |              0.0001485




======== TIMERS GLOBAL OVER ALL RANKS ========
                                                (                   min |                    avg |                    max) sec.
TIMERS: main()
  Initialization                               :              0.7292759 |              0.7293808 |              0.7294857
    Load Synapses                              :                3.6e-06 |               4.25e-06 |                4.9e-06
    Translate Global IDs                       :               1.29e-05 |               2.05e-05 |               2.81e-05
    Initialize Network Graph                   :                  3e-07 |                  5e-07 |                  7e-07
  Simulation loop                              :               0.220065 |               0.220256 |               0.220447
    Update electrical activity                 :              0.1348755 |             0.13597135 |              0.1370672
      Prepare sending spikes                   :              0.0032166 |             0.00333655 |              0.0034565
      Exchange neuron ids                      :               0.026027 |              0.0300362 |              0.0340454
      Calculate serial activity setup          :              0.0076813 |              0.0076819 |              0.0076825
      Calculate synaptic background            :              0.0004753 |              0.0004773 |              0.0004793
      Calculate synaptic input                 :              0.0533071 |              0.0562631 |              0.0592191
      Calculate activity                       :               0.032808 |             0.03287155 |              0.0329351
    Update #synaptic elements delta            :              0.0126653 |             0.01267205 |              0.0126788
    Connectivity update                        :              0.0672215 |              0.0673107 |              0.0673999
      Delete synapses                          :               0.000884 |              0.0009681 |              0.0010522
        Commit #synaptic elements              :              0.0003796 |             0.00039085 |              0.0004021
        Find synapses to delete                :               7.96e-05 |              8.375e-05 |               8.79e-05
        Exchange deletions (w/ alltoall)       :               1.49e-05 |              1.555e-05 |               1.62e-05
        Process deletion requests              :               1.49e-05 |              1.555e-05 |               1.62e-05
      Update leaf nodes                        :              0.0006138 |             0.00062925 |              0.0006447
      Update local trees                       :              0.0058371 |             0.00602745 |              0.0062178
      Exchange branch nodes (w/ Allgather)     :               8.26e-05 |             0.00029435 |              0.0005061
      Insert branch nodes into global tree     :                6.6e-06 |               7.05e-06 |                7.5e-06
      Update global tree                       :               7.32e-05 |              7.595e-05 |               7.87e-05
      Find target neurons (w/ RMA)             :              0.0354321 |             0.04634875 |              0.0572654
        FMM: Calculate Taylor Coefficients     :                      0 |                      0 |                      0
        FMM: Calculate Hermite Coefficients    :                      0 |                      0 |                      0
      Empty remote nodes cache                 :              0.0004382 |             0.00044665 |              0.0004551
      Create synapses                          :              0.0589606 |             0.05896495 |              0.0589693
        Create synapses Exchange Requests      :              0.0008207 |             0.01174825 |              0.0226758
        Create synapses Process Requests       :              0.0004701 |               0.000482 |              0.0004939
        Create synapses Exchange Responses     :              0.0002364 |              0.0002549 |              0.0002734
        Create synapses Process Responses      :              0.0001203 |              0.0001205 |              0.0001207
      Add synapses in local network graphs     :              0.0001319 |              0.0001329 |              0.0001339




======== TIMERS GLOBAL OVER ALL RANKS ========
                                                (                   min |                    avg |                    max) sec.
TIMERS: main()
  Initialization                               :              0.7199755 |              0.7200921 |              0.7202087
    Load Synapses                              :                3.4e-06 |               6.05e-06 |                8.7e-06
    Translate Global IDs                       :               1.28e-05 |              2.695e-05 |               4.11e-05
    Initialize Network Graph                   :                  4e-07 |                4.5e-07 |                  5e-07
  Simulation loop                              :              0.2236358 |              0.2238342 |              0.2240326
    Update electrical activity                 :              0.1380547 |              0.1393077 |              0.1405607
      Prepare sending spikes                   :              0.0033951 |              0.0034622 |              0.0035293
      Exchange neuron ids                      :               0.024542 |              0.0295574 |              0.0345728
      Calculate serial activity setup          :              0.0076813 |              0.0077993 |              0.0079173
      Calculate synaptic background            :              0.0004767 |             0.00049085 |               0.000505
      Calculate synaptic input                 :              0.0566262 |             0.06018325 |              0.0637403
      Calculate activity                       :              0.0325128 |             0.03257355 |              0.0326343
    Update #synaptic elements delta            :              0.0125851 |              0.0126961 |              0.0128071
    Connectivity update                        :              0.0675014 |             0.06751875 |              0.0675361
      Delete synapses                          :              0.0008816 |              0.0008948 |               0.000908
        Commit #synaptic elements              :               0.000374 |              0.0003781 |              0.0003822
        Find synapses to delete                :               8.47e-05 |              8.665e-05 |               8.86e-05
        Exchange deletions (w/ alltoall)       :               1.72e-05 |              1.865e-05 |               2.01e-05
        Process deletion requests              :               1.72e-05 |              1.865e-05 |               2.01e-05
      Update leaf nodes                        :              0.0006257 |             0.00062765 |              0.0006296
      Update local trees                       :              0.0058364 |             0.00584905 |              0.0058617
      Exchange branch nodes (w/ Allgather)     :               7.91e-05 |               8.85e-05 |               9.79e-05
      Insert branch nodes into global tree     :                6.3e-06 |               6.45e-06 |                6.6e-06
      Update global tree                       :               6.51e-05 |               6.56e-05 |               6.61e-05
      Find target neurons (w/ RMA)             :              0.0372271 |             0.04639455 |               0.055562
        FMM: Calculate Taylor Coefficients     :                      0 |                      0 |                      0
        FMM: Calculate Hermite Coefficients    :                      0 |                      0 |                      0
      Empty remote nodes cache                 :              0.0004565 |             0.00049505 |              0.0005336
      Create synapses                          :              0.0596255 |             0.05962985 |              0.0596342
        Create synapses Exchange Requests      :              0.0019114 |             0.01108405 |              0.0202567
        Create synapses Process Requests       :              0.0011944 |              0.0012352 |               0.001276
        Create synapses Exchange Responses     :              0.0003485 |             0.00038755 |              0.0004266
        Create synapses Process Responses      :              0.0005134 |              0.0005163 |              0.0005192
      Add synapses in local network graphs     :              0.0001317 |              0.0001353 |              0.0001389



