# num_vertices: 51842
# num_edges: 426124
# min_x: -71.6522
# min_y: -122.577
# min_z: -30.2009
# Offset added
# min_x: 0
# min_y: 0
# min_z: 0
# min vertex degree: 6
# max vertex degree: 1246
# Vertices: 51842
# Add offset (x y z) to get original positions: (-71.652210 -122.577140 -30.200880)
# Position (x y z)	Area
35.258580 76.263540 41.698250 	lh.fusiform
12.829750 58.925110 34.815570 	lh.inferiortemporal
21.419660 66.437450 31.773990 	lh.inferiortemporal
7.959710 71.566360 37.746860 	lh.inferiortemporal
8.153260 72.135030 36.151900 	lh.inferiortemporal
8.708290 71.699260 37.760530 	lh.inferiortemporal
7.662840 71.800410 37.800670 	lh.inferiortemporal
5.482710 70.437490 39.733830 	lh.middletemporal
6.264170 71.848150 38.564610 	lh.middletemporal
16.510230 79.730010 43.432420 	lh.middletemporal
25.987700 77.701580 60.651290 	lh.superiortemporal
17.320610 64.266970 53.242460 	lh.bankssts
13.663300 67.377430 55.087900 	lh.bankssts
10.023510 67.616880 54.807680 	lh.bankssts
9.475830 69.983010 53.550190 	lh.bankssts
18.013050 79.189460 43.484660 	lh.superiortemporal
10.353100 64.603630 54.891140 	lh.bankssts
13.374410 65.080710 53.906530 	lh.bankssts
9.965390 65.978110 54.937120 	lh.bankssts
9.120500 63.444800 55.583440 	lh.middletemporal
16.863400 66.665320 53.456670 	lh.bankssts
20.354180 74.854660 50.566610 	lh.bankssts
13.236210 77.931760 47.856990 	lh.middletemporal
13.675520 78.147030 45.389280 	lh.middletemporal
15.039400 78.251770 44.318270 	lh.middletemporal
13.197920 66.652990 54.314840 	lh.bankssts
7.576150 70.880560 49.742510 	lh.middletemporal
5.054150 61.961340 68.471200 	lh.bankssts
6.799860 62.687510 66.622930 	lh.bankssts
4.289160 63.298940 68.915700 	lh.bankssts
4.629590 60.695620 69.401720 	lh.superiortemporal
11.504050 61.475280 66.167610 	lh.bankssts
20.327030 74.006080 51.157710 	lh.bankssts
20.265940 73.976900 50.927640 	lh.bankssts
19.808960 73.959200 51.643280 	lh.bankssts
21.362400 62.671520 33.863910 	lh.fusiform
9.311530 67.775440 47.722150 	lh.middletemporal
3.745360 73.208280 40.366030 	lh.middletemporal
11.286600 78.567640 45.878500 	lh.middletemporal
25.431020 78.217150 60.184610 	lh.transversetemporal
25.475150 78.220580 60.159520 	lh.transversetemporal
8.181380 65.866460 55.249840 	lh.bankssts
11.255930 67.168610 54.752190 	lh.bankssts
7.787100 67.195790 54.794810 	lh.bankssts
7.870480 64.285820 55.836880 	lh.middletemporal
3.634580 63.258080 70.126870 	lh.superiortemporal
3.864430 64.449850 67.624740 	lh.superiortemporal
13.536110 60.737140 64.541250 	lh.bankssts
11.875840 61.467480 64.582520 	lh.bankssts
10.943810 68.713220 54.257120 	lh.bankssts
9.259000 68.853130 53.986920 	lh.bankssts
6.027440 67.287280 54.562130 	lh.middletemporal
18.511200 67.534890 53.379020 	lh.bankssts
15.880990 67.299560 53.971610 	lh.bankssts
14.206590 77.925860 48.666910 	lh.middletemporal
14.402020 77.593890 49.565120 	lh.middletemporal
19.886770 66.963410 53.052670 	lh.bankssts
18.831370 69.263370 53.601300 	lh.bankssts
15.177460 77.809150 45.370380 	lh.middletemporal
8.124980 80.087250 46.284290 	lh.middletemporal
10.860900 79.558570 45.071530 	lh.middletemporal
7.057580 81.080290 45.892330 	lh.superiortemporal
13.039120 77.822460 49.363580 	lh.superiortemporal
